2026-05-04 19:07:28 | WARNING  | langgraph.checkpoint.serde.jsonplus | thread=- | target=- | op=- | case=- | source=- | Deserializing unregistered type api_testing_agent.core.execution_models.ExecutionCaseResult from checkpoint. This will be blocked in a future version. Set LANGGRAPH_STRICT_MSGPACK=true to block now, or add to allowed_msgpack_modules to allow explicitly: [('api_testing_agent.core.execution_models', 'ExecutionCaseResult')]
2026-05-04 19:07:28 | WARNING  | langgraph.checkpoint.serde.jsonplus | thread=- | target=- | op=- | case=- | source=- | Deserializing unregistered type api_testing_agent.core.execution_models.ExecutionCaseResult from checkpoint. This will be blocked in a future version. Set LANGGRAPH_STRICT_MSGPACK=true to block now, or add to allowed_msgpack_modules to allow explicitly: [('api_testing_agent.core.execution_models', 'ExecutionCaseResult')]
2026-05-04 19:07:28 | WARNING  | langgraph.checkpoint.serde.jsonplus | thread=- | target=- | op=- | case=- | source=- | Deserializing unregistered type api_testing_agent.core.execution_models.ExecutionCaseResult from checkpoint. This will be blocked in a future version. Set LANGGRAPH_STRICT_MSGPACK=true to block now, or add to allowed_msgpack_modules to allow explicitly: [('api_testing_agent.core.execution_models', 'ExecutionCaseResult')]
2026-05-04 19:07:28 | WARNING  | langgraph.checkpoint.serde.jsonplus | thread=- | target=- | op=- | case=- | source=- | Deserializing unregistered type api_testing_agent.core.execution_models.ExecutionCaseResult from checkpoint. This will be blocked in a future version. Set LANGGRAPH_STRICT_MSGPACK=true to block now, or add to allowed_msgpack_modules to allow explicitly: [('api_testing_agent.core.execution_models', 'ExecutionCaseResult')]
2026-05-04 19:07:28 | WARNING  | langgraph.checkpoint.serde.jsonplus | thread=- | target=- | op=- | case=- | source=- | Deserializing unregistered type api_testing_agent.core.execution_models.ExecutionCaseResult from checkpoint. This will be blocked in a future version. Set LANGGRAPH_STRICT_MSGPACK=true to block now, or add to allowed_msgpack_modules to allow explicitly: [('api_testing_agent.core.execution_models', 'ExecutionCaseResult')]
2026-05-04 19:07:28 | WARNING  | langgraph.checkpoint.serde.jsonplus | thread=- | target=- | op=- | case=- | source=- | Deserializing unregistered type api_testing_agent.core.execution_models.ExecutionBatchResult from checkpoint. This will be blocked in a future version. Set LANGGRAPH_STRICT_MSGPACK=true to block now, or add to allowed_msgpack_modules to allow explicitly: [('api_testing_agent.core.execution_models', 'ExecutionBatchResult')]
2026-05-04 19:07:28 | WARNING  | langgraph.checkpoint.serde.jsonplus | thread=- | target=- | op=- | case=- | source=- | Deserializing unregistered type api_testing_agent.core.validation_models.ValidationVerdict from checkpoint. This will be blocked in a future version. Set LANGGRAPH_STRICT_MSGPACK=true to block now, or add to allowed_msgpack_modules to allow explicitly: [('api_testing_agent.core.validation_models', 'ValidationVerdict')]
2026-05-04 19:07:28 | WARNING  | langgraph.checkpoint.serde.jsonplus | thread=- | target=- | op=- | case=- | source=- | Deserializing unregistered type api_testing_agent.core.validation_models.ValidationCaseResult from checkpoint. This will be blocked in a future version. Set LANGGRAPH_STRICT_MSGPACK=true to block now, or add to allowed_msgpack_modules to allow explicitly: [('api_testing_agent.core.validation_models', 'ValidationCaseResult')]
2026-05-04 19:07:28 | WARNING  | langgraph.checkpoint.serde.jsonplus | thread=- | target=- | op=- | case=- | source=- | Deserializing unregistered type api_testing_agent.core.validation_models.ValidationVerdict from checkpoint. This will be blocked in a future version. Set LANGGRAPH_STRICT_MSGPACK=true to block now, or add to allowed_msgpack_modules to allow explicitly: [('api_testing_agent.core.validation_models', 'ValidationVerdict')]
2026-05-04 19:07:28 | WARNING  | langgraph.checkpoint.serde.jsonplus | thread=- | target=- | op=- | case=- | source=- | Deserializing unregistered type api_testing_agent.core.validation_models.ValidationCaseResult from checkpoint. This will be blocked in a future version. Set LANGGRAPH_STRICT_MSGPACK=true to block now, or add to allowed_msgpack_modules to allow explicitly: [('api_testing_agent.core.validation_models', 'ValidationCaseResult')]
